iter	Logloss	Accuracy	Recall
0	0.6787323094	0.6577993608	0.7282855153
1	0.6634251452	0.6754476799	0.6612986735
2	0.6536474745	0.6782149935	0.6696541751
3	0.6408441276	0.7011122815	0.7148417275
4	0.625471678	0.7220635232	0.7655639071
5	0.6123934798	0.7368284801	0.7890949992
6	0.5928924185	0.7612165467	0.7982896217
7	0.5827261277	0.7710271197	0.7958615272
8	0.5768646282	0.7783024763	0.8029494206
9	0.5692765249	0.7816678867	0.8069664887
10	0.5605093	0.7863633929	0.8040563461
11	0.5554078618	0.7902108514	0.800824838
12	0.5508955558	0.7917462641	0.8025566407
13	0.5414456993	0.7985752799	0.7971112817
14	0.5306755686	0.8064665869	0.7957008445
15	0.5213175046	0.8147328203	0.7981824999
16	0.5143042495	0.8183571084	0.796165039
17	0.5108448932	0.819115888	0.795379479
18	0.504516545	0.8234453947	0.7968970381
19	0.4966523857	0.8301583618	0.8032172252
20	0.4863924193	0.8414507865	0.8115727268
21	0.4808854466	0.8429147846	0.8109657032
22	0.4765035799	0.8438431737	0.8099123386
23	0.4716573829	0.8477799004	0.8126439449
24	0.4687589681	0.8471371695	0.8103408259
25	0.463479266	0.8519308707	0.8159111603
26	0.4548652634	0.8573494492	0.8214814947
27	0.4503284076	0.8600364214	0.820535252
28	0.4431350068	0.8613575905	0.8155719412
29	0.4396003365	0.8623395404	0.8131081395
30	0.4333779396	0.8674724608	0.8182678402
31	0.4282924789	0.8706325543	0.8170180857
32	0.423294845	0.8728374784	0.8163217939
33	0.4196903832	0.8743907447	0.8148220885
34	0.4164957658	0.8755423042	0.8136258949
35	0.4136734709	0.8763814251	0.8139472604
36	0.4107832393	0.8775419114	0.8147328203
37	0.4045111376	0.8783274714	0.8124832622
38	0.3989240757	0.8816661013	0.8146256985
39	0.3969546762	0.8812822481	0.8133937976
40	0.3944005977	0.8821124422	0.8146078449
41	0.391546997	0.8831479531	0.8138222849
42	0.3874502397	0.8853796576	0.8160182821
43	0.3839626699	0.887173948	0.816857403
44	0.3786259239	0.8901822856	0.8190534002
45	0.3764156953	0.890851797	0.8191069611
46	0.3745188844	0.8910749674	0.8180178893
47	0.3696504249	0.8925300387	0.8178214993
48	0.3671110858	0.893351306	0.8179643284
49	0.3651079703	0.8936994519	0.8163575012
50	0.3627643937	0.8942796951	0.8170359394
51	0.3608412993	0.8944939387	0.8158218921
52	0.3600697746	0.8941190123	0.8152505758
53	0.3588049127	0.8941011587	0.8145007231
54	0.3537994607	0.8964489118	0.8170180857
55	0.3524635857	0.8962346682	0.8162146721
56	0.351345406	0.896047205	0.8155005267
57	0.3478658655	0.8969577404	0.8156969167
58	0.346467093	0.89712735	0.8150006249
59	0.341397921	0.8982967631	0.8152148685
60	0.3387594336	0.8992876399	0.8161789648
61	0.3360297941	0.9007159308	0.8181607184
62	0.3350657509	0.9006891503	0.8179821821
63	0.3331880319	0.9008319794	0.8171609148
64	0.3319934515	0.9011533449	0.8172858903
65	0.3297845875	0.901885344	0.8181964257
66	0.3290176725	0.9018407099	0.8182499866
67	0.3267436494	0.9025459285	0.819160522
68	0.3259149079	0.9027244648	0.8193212048
69	0.3244927665	0.9027780257	0.8190355466
70	0.3233175224	0.9027780257	0.8192854975
71	0.3221010864	0.9028851476	0.8198211066
72	0.3211485563	0.9033136348	0.8200353502
73	0.3188332884	0.9043402189	0.8215529092
74	0.3172759742	0.9045187552	0.8214279338
75	0.3164827732	0.9044116334	0.8211958365
76	0.3159240624	0.9044741212	0.8209815929
77	0.3114785698	0.9060363143	0.8232132974
78	0.3089274255	0.9069736302	0.824409491
79	0.3071228438	0.9075895806	0.8251593437
80	0.3051494749	0.907964507	0.8253200264
81	0.3045847887	0.9079287997	0.8254092946
82	0.3043492417	0.9078216779	0.8252843192
83	0.3035489238	0.9079912874	0.825391441
84	0.3021000659	0.9080805556	0.8249093928
85	0.2987265034	0.9097230901	0.8273196336
86	0.2984690083	0.9096606024	0.8270518291
87	0.2976908018	0.9096159683	0.8267661709
88	0.2975000059	0.9095177733	0.8263376837
89	0.2960682666	0.9096427487	0.8263555373
90	0.2952517102	0.9096873828	0.82651622
91	0.2935231755	0.9099194801	0.8266233418
92	0.2920767876	0.910071236	0.82651622
93	0.2909519344	0.9100444556	0.8262127082
94	0.2901863304	0.9102229919	0.8263376837
95	0.2878917468	0.9111603078	0.8279623645
96	0.2866074402	0.9111156737	0.8273910482
97	0.2859503842	0.9112763564	0.8274624627
98	0.2850391061	0.9113745514	0.8277302673
99	0.2844082202	0.9116155755	0.8281409009
100	0.2834768961	0.9116602096	0.8282123154
101	0.2827997016	0.9119012337	0.8286408027
102	0.2825855281	0.9118476728	0.8284087054
103	0.2812527048	0.9122047455	0.8291049972
104	0.27951791	0.9124279159	0.8292299727
105	0.2788894575	0.912374355	0.8290514363
106	0.2776968863	0.9124279159	0.8290157291
107	0.2767688244	0.9128831837	0.8297655818
108	0.2761061738	0.9130706468	0.8301048008
109	0.2754713774	0.9130706468	0.8299262645
110	0.273786063	0.9138294264	0.8312652872
111	0.2734491349	0.9138026459	0.8313188481
112	0.2720351223	0.9139276214	0.8314438235
113	0.2716228735	0.9139276214	0.8313545554
114	0.2711718734	0.91404367	0.8314081163
115	0.2708192328	0.9139722554	0.8312474335
116	0.2699218371	0.9139186945	0.8309260681
117	0.2692823543	0.9140347432	0.8311403117
118	0.2687971152	0.9141686454	0.8314259699
119	0.2683918324	0.9141864991	0.8314259699
120	0.268150883	0.9141864991	0.8315152381
121	0.2671298706	0.9144185963	0.831961579
122	0.2668631985	0.91443645	0.8318723108
123	0.2663440728	0.9143561086	0.8315866526
124	0.2660579211	0.9143650354	0.8316045063
125	0.2651765902	0.914534645	0.8318544572
126	0.264645202	0.9147667422	0.8321936762
127	0.2643569668	0.9147578154	0.8320865544
128	0.2634963717	0.9150434736	0.8325150417
129	0.2627132037	0.9150970345	0.8326221635
130	0.2624860877	0.9151059613	0.8326043099
131	0.2621435882	0.9151148881	0.8326043099
132	0.2612043051	0.9151773759	0.8326400171
133	0.2610802815	0.9151327418	0.8326400171
134	0.2603477283	0.915320205	0.8329435289
135	0.2598635333	0.9153559122	0.8329792362
136	0.259283593	0.9153826927	0.8329792362
137	0.2588042117	0.915561229	0.8332291871
138	0.2582772987	0.91561479	0.8333184553
