iter	Passed	Remaining
0	75	37921
1	93	23261
2	108	18014
3	124	15440
4	140	13893
5	154	12691
6	166	11745
7	179	11016
8	191	10436
9	205	10046
10	245	10918
11	287	11684
12	319	11982
13	364	12645
14	407	13177
15	448	13573
16	490	13947
17	549	14721
18	585	14828
19	618	14854
20	658	15010
21	700	15226
22	737	15301
23	775	15385
24	822	15623
25	863	15734
26	898	15747
27	942	15884
28	976	15867
29	1016	15920
30	1056	15978
31	1091	15957
32	1128	15965
33	1169	16026
34	1205	16015
35	1229	15844
36	1243	15559
37	1262	15353
38	1283	15172
39	1302	14979
40	1321	14792
41	1338	14600
42	1387	14749
43	1408	14596
44	1429	14450
45	1444	14255
46	1459	14067
47	1474	13881
48	1488	13703
49	1503	13535
50	1521	13395
51	1537	13246
52	1552	13094
53	1567	12949
54	1584	12816
55	1600	12687
56	1615	12557
57	1632	12438
58	1648	12321
59	1664	12208
60	1680	12096
61	1695	11978
62	1707	11844
63	1719	11713
64	1731	11588
65	1746	11482
66	1762	11389
67	1779	11303
68	1794	11208
69	1810	11119
70	1826	11034
71	1849	10995
72	1872	10952
73	1888	10869
74	1902	10780
75	1917	10697
76	1932	10616
77	1947	10536
78	1962	10455
79	1977	10383
80	1993	10311
81	2010	10249
82	2025	10178
83	2040	10106
84	2056	10040
85	2072	9974
86	2087	9907
87	2102	9842
88	2116	9774
89	2131	9709
90	2148	9654
91	2167	9611
92	2182	9552
93	2198	9494
94	2212	9431
95	2229	9381
96	2245	9327
97	2260	9272
98	2287	9265
99	2311	9245
100	2332	9212
101	2396	9352
102	2413	9300
103	2440	9294
104	2463	9269
105	2477	9210
106	2490	9148
107	2506	9097
108	2518	9033
109	2530	8972
110	2543	8912
111	2555	8852
112	2568	8795
113	2581	8739
114	2594	8684
115	2607	8631
116	2620	8577
117	2633	8525
118	2646	8471
119	2659	8420
120	2675	8380
121	2687	8328
122	2699	8274
123	2711	8223
124	2723	8171
125	2736	8121
126	2748	8071
127	2760	8022
128	2773	7976
129	2785	7929
130	2799	7884
131	2811	7839
132	2829	7808
133	2846	7775
134	2869	7757
135	2905	7777
136	2941	7794
137	2958	7760
138	2977	7733
139	3003	7722
140	3016	7680
141	3032	7645
142	3045	7603
143	3059	7563
144	3072	7522
145	3085	7481
146	3099	7443
147	3117	7413
148	3130	7373
149	3143	7334
150	3156	7295
151	3169	7256
152	3182	7217
153	3201	7193
154	3215	7156
155	3227	7117
156	3240	7079
157	3253	7042
158	3266	7005
159	3279	6968
160	3295	6939
161	3314	6914
162	3329	6883
163	3345	6853
164	3359	6820
165	3374	6789
166	3387	6754
167	3399	6718
168	3412	6683
169	3425	6649
170	3438	6615
171	3451	6581
172	3464	6548
173	3477	6515
174	3493	6487
175	3507	6457
176	3523	6430
177	3536	6397
178	3549	6365
179	3562	6333
180	3575	6302
181	3589	6270
182	3602	6240
183	3615	6209
184	3628	6178
185	3641	6147
186	3654	6117
187	3668	6088
188	3681	6057
189	3713	6059
190	3734	6041
191	3746	6010
192	3777	6008
193	3791	5980
194	3803	5949
195	3816	5918
196	3828	5888
197	3840	5858
198	3853	5828
199	3866	5800
200	3879	5771
201	3895	5746
202	3909	5720
203	3923	5693
204	3937	5666
205	3950	5637
206	3963	5609
207	3977	5583
208	3990	5556
209	4004	5529
210	4017	5502
211	4032	5478
212	4046	5452
213	4063	5430
214	4078	5405
215	4093	5381
216	4109	5359
217	4124	5334
218	4139	5311
219	4154	5288
220	4170	5264
221	4189	5246
222	4203	5221
223	4216	5194
224	4229	5168
225	4242	5143
226	4255	5117
227	4268	5091
228	4280	5065
229	4292	5039
